Response ID,What year were you born?,Gender,job industry, job industry (Detailed),occupation,Occupation (Detailed),Number of employers,Manager,Household,Job tenure,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,Time prefered to work remotely,"In last 3 months, time spent on remote working","In last 3 months,  My organisation encouraged people to work remotely","In last 3 months,  My organisation was well prepared for me to work remotely","In last 3 months, It was common for people in my organisation to work remotely","In last 3 months, It was easy to get permission to work remotely","in last 3 months, collaboration with colleagues when working remotely","In last 3 months, I would recommend remote working to others","In the last 3 months, preferred time to work remotely ",Time prefer to work remotely after COVID is cured,Encourage more remote working after COVID is cured,Make changes to support remote working after COVID is cured,Prefer to work remotely after COVID is cured,Productivity,Time for preparing  and commuting on employer's workplace,Working hours on employer's workplace,Time for personal and family while on employer's workplace,Time for Caring and domestic responsibilities while on employer's workplace,Time for preparing for work and commuting while on remote work,how many hours do you work remotely,Time for personal and family while on remote work,Time for Caring and domestic responsibilities while on remote work,The most significant barrier to doing your work remotely,Compare remote working to working at your employer痴 workplace
11,1980,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,General Clerical ,More than 200,No,Single person,Between 6 and 12 months,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,70%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,70%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,3,8,3,2,0.5,8,5,2,Connectivity (internet connection),Preparing for work and commuting
12,1989,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,40%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,100% - All of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% more productive when working remotely,2,10,3,2,0.5,12,4,2,"IT equipment (computer, printer, etc.)",The number of hours  I work
13,1994,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Strongly agree,I知 10% less productive when working remotely,2,8,1,1,0,9,2,1,Connectivity (internet connection),Preparing for work and commuting
14,1970,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Managers,Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,80%,80%,Neither agree nor disagree,Somewhat agree,Somewhat agree,I知 50% more productive when working remotely (or more),1,12,4,1,0,13,5,1,Feeling left out and/or isolated,Preparing for work and commuting
15,1962,Female,Construction,Heavy and Civil Engineering Construction,Clerical and administrative ,Personal Assistants and Secretaries,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Strongly agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,1,5,3,2,0.5,5,4,2,Feeling left out and/or isolated,The number of hours  I work
16,1959,Male,Health Care and Social Assistance,Hospitals,Professionals,ICT Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,80%,80%,Somewhat agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,2.5,8,4,1.5,0.5,9,6,2,Connectivity (internet connection),Preparing for work and commuting
17,1971,Female,"Transport, Postal and Warehousing",Road Transport,Clerical and administrative ,Clerical and Office Support ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,50% - About half of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I知 50% more productive when working remotely (or more),0.5,8,2,2,0.25,9,2,2,"IT equipment (computer, printer, etc.)",Managing my family responsibilities
18,1960,Male,Financial and Insurance Services,Finance,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,40%,10%,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,40%,40%,Somewhat disagree,Somewhat agree,Strongly agree,I知 30% less productive when working remotely,3,10,2,2,1,12,2,2,Feeling left out and/or isolated,Preparing for work and commuting
19,1966,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Sales ,Sales Representatives and Agents,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,30%,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),0.5,4,8,0.5,0,5,8,0.5,Feeling left out and/or isolated,My work-life balance
20,1969,Male,Public Administration and Safety,Public Administration,Community and personal service ,Protective Service ,More than 200,No,Couple with dependent children,More than 5 years,Metro,40%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,60%,10%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,40%,40%,Strongly disagree,Strongly disagree,Somewhat disagree,I知 50% more productive when working remotely (or more),2,8,1,3,0.5,8,1.5,3,Poor management,Managing my family responsibilities
21,1961,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Managers,Specialist Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,100% - All of my time,90%,Somewhat agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,3,8,2,2,0.5,8,4,3,Feeling left out and/or isolated,Managing my family responsibilities
22,1969,Male,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,50% - About half of my time,90%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,70%,60%,Somewhat agree,Somewhat agree,Somewhat agree,I知 30% more productive when working remotely,2,7,9,6,0.5,9,9.5,5,Difficulty collaborating remotely,My work-life balance
23,1959,Male,"Transport, Postal and Warehousing",Other Transport,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,80%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,50% - About half of my time,80%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,80%,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I知 20% more productive when working remotely,1.5,7.5,4,3,1,7.5,2,2,Feeling left out and/or isolated,My work-life balance
24,1963,Male,Public Administration and Safety,Public Administration,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,I知 40% more productive when working remotely,2,8,10,4,0,8,12,4,Connectivity (internet connection),My work-life balance
25,1962,Male,Financial and Insurance Services,Finance,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,70%,90%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,70%,Somewhat agree,Somewhat agree,Somewhat agree,I知 30% more productive when working remotely,3,10,3,2,1,11,5,2,Difficulty collaborating remotely,My work-life balance
26,1965,Male,Accommodation and Food Services,Food and Beverage Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Less than 10% of my time,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly disagree,I知 30% less productive when working remotely,2,10,10,2,0,10,10,4,Difficulty collaborating remotely,Preparing for work and commuting
27,1962,Female,Financial and Insurance Services,Finance,Professionals,"Legal, Social and Welfare Professionals",More than 200,Yes,Other one family household,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,20%,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,40%,40%,Strongly agree,Strongly agree,Strongly agree,I知 10% less productive when working remotely,2,6,0.5,0,0,8,1,0,Feeling left out and/or isolated,Preparing for work and commuting
28,1963,Female,"Transport, Postal and Warehousing",Water Transport,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,100% - All of my time,Strongly agree,Neither agree nor disagree,Strongly disagree,My productivity is about same when I work remotely,0.5,6,8,2,0.5,6,10,2,Connectivity (internet connection),My work-life balance
29,1984,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,30%,30%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I知 30% more productive when working remotely,1,8,5,2,1,8,6,6,Difficulty collaborating remotely,My working relationships
30,1957,Male,Education and Training,"Adult, Community and Other Education",Professionals,Education Professionals,I am the only employee,No,Single person,More than 5 years,Regional,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,60%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,60%,60%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I知 30% more productive when working remotely,2,8,4,0,0,8,5,1,Poor management,Preparing for work and commuting
31,1962,Male,Public Administration and Safety,Public Administration,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,10%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,30%,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,80%,60%,Strongly agree,Somewhat agree,Strongly agree,I知 10% less productive when working remotely,1,8.5,3,2,0,9.5,4,3,Difficulty collaborating remotely,Preparing for work and commuting
32,1958,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,No,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,80%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,I知 20% more productive when working remotely,4,8.5,3.5,1,0,9.5,3.5,1,Feeling left out and/or isolated,Preparing for work and commuting
33,1961,Male,Arts and Recreation Services,Sports and Recreation Activities,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,90%,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,30%,90%,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,30%,30%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I知 30% less productive when working remotely,2,8,8,6,1,10,5,8,Difficulty collaborating remotely,Preparing for work and commuting
34,1959,Male,Information Media and Telecommunications,Broadcasting (except Internet),Managers,"Chief Executives, General Managers and Legislators",More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,20%,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,100% - I spent all of my time remote working,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Strongly disagree,Somewhat disagree,Somewhat disagree,I知 30% more productive when working remotely,1,6,2,1,1,8,2,1,Connectivity (internet connection),My work-life balance
35,1980,Female,Retail Trade,Motor Vehicle and Motor Vehicle Parts Retailing,Clerical and administrative ,General Clerical ,More than 200,No,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,90%,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,60%,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,0.5,8,3,5,0,8,4,4,"IT equipment (computer, printer, etc.)",My work-life balance
36,1991,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,No,Single person,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,Less than 10% of my time,20%,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,10%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.5,9,4,1,0.5,9,5,1,Feeling left out and/or isolated,Preparing for work and commuting
37,1973,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,40%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,20%,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat disagree,Somewhat agree,Strongly agree,I知 30% more productive when working remotely,1,10,2,2,0,12,2,3,Feeling left out and/or isolated,My working relationships
38,1971,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,20%,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,10%,Strongly disagree,Strongly disagree,Strongly disagree,I知 30% more productive when working remotely,1,12,2,3,0.5,12,3,3,Difficulty collaborating remotely,My work-life balance
39,1996,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 6 and 12 months,Metro,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,30%,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,70%,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I知 20% less productive when working remotely,3,8,4,1,1,9,5,1,Poor management,My on-the-job learning opportunities
40,1975,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,30%,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,I知 20% more productive when working remotely,1,8,4,2,0.2,9,4,2,Feeling left out and/or isolated,Managing my family responsibilities
41,1996,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,Arts and Media Professionals,Between 20 and 199,Yes,Single person,Between 6 and 12 months,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,20%,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,10%,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,I知 20% less productive when working remotely,2,10,2,1,0.5,10,3,3,Connectivity (internet connection),Preparing for work and commuting
42,1987,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,60%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,80%,50% - About half of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,I知 10% more productive when working remotely,2,8.5,4,1,0.5,9,5,2,Feeling left out and/or isolated,Managing my family responsibilities
43,1966,Female,Health Care and Social Assistance,Residential Care Services,Community and personal service ,Health and Welfare Support ,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,90%,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,80%,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,80%,Strongly agree,Strongly agree,Strongly agree,I知 30% more productive when working remotely,4,8,2,1,0,10,2,1,"IT equipment (computer, printer, etc.)",Managing my family responsibilities
44,1976,Female,Retail Trade,Other Store-Based Retailing,Managers,Specialist Managers,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,10%,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,50% - About half of my time,60%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,60%,40%,Somewhat disagree,Somewhat disagree,Strongly disagree,I知 50% more productive when working remotely (or more),2,7,11,3,0,8,12,4,Difficulty collaborating remotely,My work-life balance
45,1967,Female,Other Services,Personal and Other Services,Sales ,Sales Representatives and Agents,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,10%,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Less than 10% of my time,90%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Somewhat disagree,Somewhat agree,Somewhat agree,I知 20% more productive when working remotely,1,8,5,2,0.5,8,8,2,Feeling left out and/or isolated,My work-life balance
46,1965,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Legal, Social and Welfare Professionals",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,30%,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,30%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I知 20% less productive when working remotely,1,8,4,2,0.5,6,6,2,Feeling left out and/or isolated,Managing my family responsibilities
